year,season,method,overall_accuracy,precision,recall,f1_score,kappa
2016,wet,NDWI_Otsu,0.7019475021168501,0.6466257668711657,0.8917089678510999,0.7496443812233287,0.4037030449425953
2016,wet,RandomForest,0.8475867908552075,0.8267090620031796,0.8798646362098139,0.8524590163934427,0.6951567523539383
2016,wet,SVM,0.821337849280271,0.7978056426332288,0.8612521150592216,0.8283157038242474,0.6426513588199613
2016,dry,NDWI_Otsu,0.7548117154811715,0.8421052631578947,0.6216216216216216,0.7152575315840622,0.5084078978219635
2016,dry,RandomForest,0.8577405857740585,0.8552188552188552,0.8581081081081081,0.8566610455311973,0.7154658292879011
2016,dry,SVM,0.8234309623430962,0.8180300500834724,0.8277027027027027,0.8228379513014273,0.646870085108588
2017,wet,NDWI_Otsu,0.7367993501218522,0.6518438177874186,0.9950331125827815,0.7876802096985582,0.47845121807696833
2017,wet,RandomForest,0.834281072298944,0.7906976744186046,0.9006622516556292,0.8421052631578947,0.6692899698162108
2017,wet,SVM,0.8188464662875711,0.7414448669201521,0.9685430463576159,0.8399138549892319,0.639591109547298
2017,dry,NDWI_Otsu,0.8199658703071673,0.8193979933110368,0.8263069139966274,0.8228379513014273,0.639843640769912
2017,dry,RandomForest,0.8703071672354948,0.8562197092084006,0.893760539629005,0.8745874587458745,0.7404397301589614
2017,dry,SVM,0.8609215017064846,0.8571428571428571,0.8701517706576728,0.8635983263598326,0.7217522517798673
2018,wet,NDWI_Otsu,0.6727726894254787,0.6128078817733991,1.0,0.759926695174099,0.3289615668411107
2018,wet,RandomForest,0.8642797668609492,0.8461538461538461,0.9019292604501608,0.8731517509727628,0.7275442476336546
2018,wet,SVM,0.8542880932556203,0.8,0.9581993569131833,0.8719824433065106,0.706043606387249
2018,dry,NDWI_Otsu,0.8472222222222222,0.7917771883289124,0.9521531100478469,0.8645908761766835,0.6926968373906459
2018,dry,RandomForest,0.8782679738562091,0.8746081504702194,0.8899521531100478,0.8822134387351779,0.7562821725813434
2018,dry,SVM,0.8839869281045751,0.8725038402457758,0.9059011164274322,0.8888888888888891,0.7676108878246011
2019,wet,NDWI_Otsu,0.7142857142857143,0.6355140186915887,0.9951219512195122,0.7756653992395436,0.4308637361610688
2019,wet,RandomForest,0.8732849071832123,0.8397626112759644,0.9203252032520325,0.878200155159038,0.7467316623505471
2019,wet,SVM,0.8539144471347861,0.81,0.9219512195121952,0.8623574144486693,0.7081044143774772
2019,dry,NDWI_Otsu,0.7903225806451613,0.8342967244701349,0.7289562289562289,0.7780772686433063,0.5810678115938273
2019,dry,RandomForest,0.8556876061120543,0.8375796178343949,0.8855218855218855,0.8608837970540097,0.7112128885633036
2019,dry,SVM,0.8548387096774194,0.8427876823338736,0.8754208754208754,0.8587943848059455,0.7095602123530413
2020,wet,NDWI_Otsu,0.6008474576271187,0.5516252390057361,0.9965457685664939,0.7101538461538461,0.21303481009073513
2020,wet,RandomForest,0.8110169491525424,0.7986577181208053,0.8221070811744386,0.8102127659574467,0.6221055473538485
2020,wet,SVM,0.7847457627118644,0.7633711507293355,0.8134715025906736,0.7876254180602006,0.5698585234660458
2020,dry,NDWI_Otsu,0.7324301439458086,0.7683168316831683,0.6609880749574105,0.7106227106227107,0.4644006303262714
2020,dry,RandomForest,0.8204911092294666,0.8,0.8517887563884157,0.8250825082508252,0.6411065018018353
2020,dry,SVM,0.7790008467400508,0.7859649122807018,0.7632027257240205,0.7744165946413138,0.5579107247607341
